Indicator,Vehicle Actvity Number,Company Code,Fiscal Year,Reverse Date,Vehicle Code,Job Code,Target Alokasi Biaya,Location Code,Vehicle Date,Vehicle Time,HM/KM,Unit,UoM,Reference,Remarks,Plant,Cancelled/Reversed,Operator,Helper 1,Helper 2,Measurement document,Document Number,Nomor SPBS,Tgl Angkut,Antar Kebun,Destination Plant,Created by,Created on,Changed by,Changed on
,0100282121,PALM,2026,6/3/2026,2000022697,14803,FF,407,6/3/2026,07.15.00,8.00,"8,600",KG,Quick 008 Afd IV Markus,Langsir TBS Afd IV Labura,5E17,,13008002,0,0,10209369,2321242051,,6/3/2026,,,MK171504,6/4/2026,MK171504,6/4/2026
,0100282122,PALM,2026,6/3/2026,2000014797,14107,FF,233,6/3/2026,08.10.00,8.00,0,HM,,bentuk Jalan Poros  dan P,5E17,,13005422,0,0,10209370,2321242052,,6/3/2026,,,MK171504,6/4/2026,MK171504,6/4/2026
,0100282123,PALM,2026,6/3/2026,2000014814,14107,FF,232,6/3/2026,08.10.00,8.00,0,HM,,Pemadatan Jalan Poros Afd,5E17,,13003922,0,0,10209881,2321242053,,6/3/2026,,,MK171504,6/4/2026,MK171504,6/4/2026
,0100282124,PALM,2026,6/1/2026,2000014529,,CC,5E19BT15KS,6/1/2026,07.00.00,225.00,0,,,Dinas dalam kebun,5E19,,13005189,0,0,10209700,2321243877,,,,,MK191504,6/4/2026,MK191504,6/4/2026
,0100282125,PALM,2026,6/2/2026,2000014529,,CC,5E19BT15KS,6/2/2026,07.00.00,139.00,0,,,Dinas dalam kebun,5E19,,13005189,0,0,10209891,2321243878,,,,,MK191504,6/4/2026,MK191504,6/4/2026
,0100282126,PALM,2026,6/3/2026,2000014529,,CC,5E19BT15KS,6/3/2026,07.00.00,84.00,0,,,Dinas dalam kebun,5E19,,13005189,0,0,10209892,2321243879,,,,,MK191504,6/4/2026,MK191504,6/4/2026
,0100282127,PALM,2026,6/2/2026,2000023344,14803,FF,524,6/2/2026,07.00.00,5.00,"2,210",KG,,Angkut TBS Afd V,5E19,,13005295,0,0,10209893,2321243880,,,,,MK191504,6/4/2026,MK191504,6/4/2026
,0100282216,PALM,2026,6/1/2026,2000021465,,CC,5F04STAS14,6/1/2026,08.00.00,32.00,0,KM,AU,Angkut Tankos ke Afd IV,5F04,,13003319,0,0,10209910,2321255238,,6/1/2026,,,MP041504,6/4/2026,MP041504,6/4/2026
,0100282217,PALM,2026,6/2/2026,2000021465,,CC,5F04STAS14,6/2/2026,08.00.00,125.00,0,KM,AU,Angkut Tanko ke Afd I,5F04,,13003319,0,0,10209941,2321255239,,6/2/2026,,,MP041504,6/4/2026,MP041504,6/4/2026
,0100282218,PALM,2026,6/3/2026,2000021465,,CC,5F04STAS14,6/3/2026,08.00.00,43.00,0,KM,AU,Angkut Tankos ke Afd IV,5F04,,13003319,0,0,10209942,2321255240,,6/3/2026,,,MP041504,6/4/2026,MP041504,6/4/2026
