 ,,,,,,,,,,,,,,,
REKAPITULIASI BA EQUIPMENT,,,,,,,,,,,,,,,
PER 30 DES 2024,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
MENURUT BA EQUIPMENT,,,,,,,,,,168,,,,,
NO,UNIT/KERJA,NAMA EQUIPMENT,NOMOR EQUIPMENT,REVISI COST CENTER,Ket CC,Ket VHC,STATUS KENDARAAN,KEPEMILIKAN,Total,,,NO,UNIT,CODE,VHC
,,Dump Truck KB 8490 WA,2000021369,5E16DTR002,Mati,Aktif,Rusak,Sewa,,DTR,5E16,Dump Truck KB 8490 WA,2000021369,5E16DTR002,
,,Dump Truck KT 8944 LK,2000021371,5E16DTR004,Mati,Aktif,Baik,Sewa,,DTR,5E16,Dump Truck DA 8290 JD,2000021372,5E16DTR005,
,,Dump Truck DA 8290 JD,2000021372,5E16DTR005,Mati,Aktif,Baik,Sewa,,DTR,5E16,Dump Truck DA 8288 JD,2000021375,5E16DTR008,
,,Dump Truck KT 8044 YE,2000021373,5E16DTR006,,Aktif,Baik,Sewa,,DTR,5E16,Dump Truck DA 8511 JJ,2000021378,5E16DTR011,
,,Dump Truck KT 8047 YE,2000021374,5E16DTR007,Mati,Aktif,Rusak,Sewa,,DTR,5E16,Quick Truck 9 Afdeling III,2000022827,5E17QUT009,
,,Dump Truck DA 8288 JD,2000021375,5E16DTR008,Mati,Tidak Ada BA,Rusak,Sewa,,,5E16,,,,
,,Dump Truck DA 8515 CW,2000021376,5E16DTR009,,Aktif,Rusak,Sewa,,DTR,5E16,,,,
,,Dump Truck KT 8046 YE,2000021377,5E16DTR010,,Aktif,Baik,Sewa,,DTR,5E16,,,,
,,Dump Truck DA 8511 JJ,2000021378,5E16DTR011,Mati,Aktif,Baik,Sewa,,DTR,5E16,,,,
,,Alat Berat Excavator SH-200,2000014835,5E16EXC001,,Aktif,Rusak,Inventaris,,EXC,5E16,,,,
,,Alat Berat Grader MG-330,2000014796,5E16GRA001,,Aktif,Baik,Inventaris,,GRA,5E16,,,,
,,Quick Truck AFD VII,2000021527,5E16QUT002,,Aktif,Baik,Sewa,,QUT,5E16,,,,
,,Quick Truck AFD VIII,2000021528,5E16QUT003,,Aktif,Baik,Sewa,,QUT,5E16,,,,
,,Quick Truck AFD V,2000021529,5E16QUT004,,Aktif,Baik,Sewa,,QUT,5E16,,,,
,,Quick Truck AFD IV,2000021530,5E16QUT005,,Aktif,Baik,Sewa,,QUT,5E16,,,,
,,Quick Truck AFD VI,2000021531,5E16QUT006,,Aktif,Baik,Sewa,,QUT,5E16,,,,
,,Mobil Manager BK 8172 JF,2000014514,5E16CAR002,,Aktif,Baik,Sewa,,CAR,5E16,,,,
,,Quick Truck AFD IV Desember,2000023247,5E16QUT007,,Aktif,Baik,Sewa,,,,,,,
,,Quick Truck AFD V Desember,2000023248,5E16QUT008,,Aktif,Baik,Sewa,,,,,,,
,,Quick Truck AFD VI Desember,2000023249,5E16QUT009,,Aktif,Baik,Sewa,,,,,,,
,,Quick Truck AFD VII Desember,2000023250,5E16QUT010,,Aktif,Baik,Sewa,,,,,,,
9,Tajati,Ambulance KT 1263 EA,2000014519,5E17CAR002,Mati,Tidak Ada BA,Jalan,Sewa,,,5E17,,,,
